"County","County Code",Deaths,Population,Crude Rate,
"Autauga County, AL","01001",342,546573,62.6,
"Baldwin County, AL","01003",1285,1895332,67.8,
"Barbour County, AL","01005",181,271416,66.7,
"Bibb County, AL","01007",163,226606,71.9,
"Blount County, AL","01009",421,574429,73.3,
"Bullock County, AL","01011",62,107342,57.8,
"Butler County, AL","01013",134,205327,65.3,
"Calhoun County, AL","01015",887,1168396,75.9,
"Chambers County, AL","01017",277,342216,80.9,
"Cherokee County, AL","01019",235,258934,90.8,
"Chilton County, AL","01021",315,436727,72.1,
"Choctaw County, AL","01023",89,136319,65.3,
"Clarke County, AL","01025",156,254665,61.3,
"Clay County, AL","01027",132,137566,96.0,
"Cleburne County, AL","01029",116,149246,77.7,
"Coffee County, AL","01031",343,501424,68.4,
"Colbert County, AL","01033",437,544404,80.3,
"Conecuh County, AL","01035",105,130041,80.7,
"Coosa County, AL","01037",103,110649,93.1,
"Covington County, AL","01039",363,377695,96.1,
"Crenshaw County, AL","01041",100,139641,71.6,
"Cullman County, AL","01043",630,808158,78.0,
"Dale County, AL","01045",375,498111,75.3,
"Dallas County, AL","01047",317,427080,74.2,
"DeKalb County, AL","01049",484,708214,68.3,
"Elmore County, AL","01051",514,798694,64.4,
"Escambia County, AL","01053",311,379658,81.9,
"Etowah County, AL","01055",885,1038546,85.2,
"Fayette County, AL","01057",142,170868,83.1,
"Franklin County, AL","01059",244,315858,77.2,
"Geneva County, AL","01061",240,266953,89.9,
"Greene County, AL","01063",47,88966,52.8,
"Hale County, AL","01065",114,155882,73.1,
"Henry County, AL","01067",137,172352,79.5,
"Houston County, AL","01069",658,1020818,64.5,
"Jackson County, AL","01071",486,530029,91.7,
"Jefferson County, AL","01073",3788,6587680,57.5,
"Lamar County, AL","01075",142,143649,98.9,
"Lauderdale County, AL","01077",682,924674,73.8,
"Lawrence County, AL","01079",289,338521,85.4,
"Lee County, AL","01081",662,1457168,45.4,
"Limestone County, AL","01083",517,856077,60.4,
"Lowndes County, AL","01085",62,110674,56.0,
"Macon County, AL","01087",139,205079,67.8,
"Madison County, AL","01089",1767,3395490,52.0,
"Marengo County, AL","01091",151,206062,73.3,
"Marion County, AL","01093",233,304950,76.4,
"Marshall County, AL","01095",765,934129,81.9,
"Mobile County, AL","01097",2712,4125843,65.7,
"Monroe County, AL","01099",155,225864,68.6,
"Montgomery County, AL","01101",1141,2280216,50.0,
"Morgan County, AL","01103",790,1190854,66.3,
"Perry County, AL","01105",70,102403,68.4,
"Pickens County, AL","01107",155,199208,77.8,
"Pike County, AL","01109",185,328526,56.3,
"Randolph County, AL","01111",169,227461,74.3,
"Russell County, AL","01113",355,557034,63.7,
"St. Clair County, AL","01115",593,844906,70.2,
"Shelby County, AL","01117",826,1988865,41.5,
"Sumter County, AL","01119",86,134892,63.8,
"Talladega County, AL","01121",605,816735,74.1,
"Tallapoosa County, AL","01123",317,413259,76.7,
"Tuscaloosa County, AL","01125",974,1968809,49.5,
"Walker County, AL","01127",689,664512,103.7,
"Washington County, AL","01129",122,171785,71.0,
"Wilcox County, AL","01131",80,115259,69.4,
"Winston County, AL","01133",228,243142,93.8,
"Aleutians West Census Area, AK","02016",10,55618,Unreliable,
"Anchorage Borough, AK","02020",931,2932876,31.7,
"Bethel Census Area, AK","02050",48,174060,27.6,
"Dillingham Census Area, AK","02070",16,49182,Unreliable,
"Fairbanks North Star Borough, AK","02090",284,980409,29.0,
"Juneau Borough, AK","02110",91,318934,28.5,
"Kenai Peninsula Borough, AK","02122",287,561505,51.1,
"Ketchikan Gateway Borough, AK","02130",81,135781,59.7,
"Kodiak Island Borough, AK","02150",48,137371,34.9,
"Lake and Peninsula Borough, AK","02164",10,16204,Unreliable,
"Matanuska-Susitna Borough, AK","02170",362,925766,39.1,
"Nome Census Area, AK","02180",50,96525,51.8,
"North Slope Borough, AK","02185",49,93723,52.3,
"Northwest Arctic Borough, AK","02188",20,76266,26.2,
"Prince of Wales-Outer Ketchikan Census Area, AK","02201",20,39203,51.0,
"Sitka Borough, AK","02220",30,89022,33.7,
"Southeast Fairbanks Census Area, AK","02240",30,69740,43.0,
"Valdez-Cordova Census Area, AK","02261",43,95613,45.0,
"Wade Hampton Census Area, AK","02270",23,77318,29.7,
"Wrangell-Petersburg Census Area, AK","02280",28,43321,64.6,
"Yukon-Koyukuk Census Area, AK","02290",26,56107,46.3,
"Apache County, AZ","04001",129,715955,18.0,
"Cochise County, AZ","04003",701,1293151,54.2,
"Coconino County, AZ","04005",240,1354941,17.7,
"Gila County, AZ","04007",387,533022,72.6,
"Graham County, AZ","04009",124,371826,33.3,
"Greenlee County, AZ","04011",39,88783,43.9,
"La Paz County, AZ","04012",180,203929,88.3,
"Maricopa County, AZ","04013",14459,39433871,36.7,
"Mohave County, AZ","04015",2181,2021782,107.9,
"Navajo County, AZ","04017",346,1077791,32.1,
"Pima County, AZ","04019",4584,9888754,46.4,
"Pinal County, AZ","04021",1495,3753834,39.8,
"Santa Cruz County, AZ","04023",124,466801,26.6,
"Yavapai County, AZ","04025",1554,2148508,72.3,
"Yuma County, AZ","04027",796,1983270,40.1,
"Arkansas County, AR","05001",174,188664,92.2,
"Ashley County, AR","05003",189,214927,87.9,
"Baxter County, AR","05005",523,412597,126.8,
"Benton County, AR","05007",1052,2299835,45.7,
"Boone County, AR","05009",313,370976,84.4,
"Bradley County, AR","05011",107,113792,94.0,
"Calhoun County, AR","05013",57,53243,107.1,
"Carroll County, AR","05015",180,274149,65.7,
"Chicot County, AR","05017",114,115655,98.6,
"Clark County, AR","05019",158,228909,69.0,
"Clay County, AR","05021",193,156925,123.0,
"Cleburne County, AR","05023",312,256768,121.5,
"Cleveland County, AR","05025",83,85902,96.6,
"Columbia County, AR","05027",183,243673,75.1,
"Conway County, AR","05029",175,211388,82.8,
"Craighead County, AR","05031",465,988836,47.0,
"Crawford County, AR","05033",442,615883,71.8,
"Crittenden County, AR","05035",351,501006,70.1,
"Cross County, AR","05037",185,176773,104.7,
"Dallas County, AR","05039",83,79773,104.0,
"Desha County, AR","05041",109,126830,85.9,
"Drew County, AR","05043",137,186066,73.6,
"Faulkner County, AR","05045",592,1157337,51.2,
"Franklin County, AR","05047",183,179995,101.7,
"Fulton County, AR","05049",134,122582,109.3,
"Garland County, AR","05051",925,965429,95.8,
"Grant County, AR","05053",151,179126,84.3,
"Greene County, AR","05055",332,427485,77.7,
"Hempstead County, AR","05057",165,224539,73.5,
"Hot Spring County, AR","05059",294,331031,88.8,
"Howard County, AR","05061",127,136393,93.1,
"Independence County, AR","05063",279,366517,76.1,
"Izard County, AR","05065",120,135233,88.7,
"Jackson County, AR","05067",192,177180,108.4,
"Jefferson County, AR","05069",573,750374,76.4,
"Johnson County, AR","05071",199,257070,77.4,
"Lafayette County, AR","05073",86,74119,116.0,
"Lawrence County, AR","05075",187,171143,109.3,
"Lee County, AR","05077",84,101868,82.5,
"Lincoln County, AR","05079",87,140365,62.0,
"Little River County, AR","05081",108,128705,83.9,
"Logan County, AR","05083",218,222058,98.2,
"Lonoke County, AR","05085",467,691665,67.5,
"Madison County, AR","05087",127,157063,80.9,
"Marion County, AR","05089",201,165613,121.4,
"Miller County, AR","05091",349,434421,80.3,
"Mississippi County, AR","05093",337,454325,74.2,
"Monroe County, AR","05095",103,79296,129.9,
"Montgomery County, AR","05097",86,92958,92.5,
